Year,State,Income
1929,CA,991
1929,CT,1024
1929,DC,1269
1929,DE,1032
1929,FL,518
1929,IA,581
1929,ID,507
1929,IL,948
1929,IN,607
1929,KA,532
1929,MA,906
1929,MD,768
1929,ME,601
1929,NC,332
1929,ND,382
1929,NE,868
1929,NJ,918
1929,NY,1152
1929,OK,455
1929,PA,772
1929,RI,874
1929,SD,426
1929,VA,434
1929,VT,634
1929,WV,460
1930,CA,887
1930,CT,921
1930,DC,1256
1930,DE,857
1930,FL,470
1930,IA,510
1930,ID,503
1930,IL,807
1930,IN,514
1930,KA,467
1930,MA,836
1930,MD,712
1930,ME,576
1930,NC,292
1930,ND,311
1930,NE,833
1930,NJ,847
1930,NY,1035
1930,OK,368
1930,PA,712
1930,RI,788
1930,SD,366
1930,VA,384
1930,VT,576
1930,WV,408
1931,CA,749
1931,CT,801
1931,DC,1196
1931,DE,775
1931,FL,398
1931,IA,400
1931,ID,374
1931,IL,671
1931,IN,438
1931,KA,401
1931,MA,759
1931,MD,638
1931,ME,491
1931,NC,248
1931,ND,187
1931,NE,652
1931,NJ,736
1931,NY,881
1931,OK,301
1931,PA,600
1931,RI,711
1931,SD,241
1931,VA,370
1931,VT,474
1931,WV,356
1932,CA,580
1932,CT,620
1932,DC,1054
1932,DE,590
1932,FL,319
1932,IA,297
1932,ID,274
1932,IL,486
1932,IN,310
1932,KA,266
1932,MA,613
1932,MD,512
1932,ME,377
1932,NC,187
1932,ND,176
1932,NE,550
1932,NJ,587
1932,NY,676
1932,OK,216
1932,PA,449
1932,RI,575
1932,SD,189
1932,VA,284
1932,VT,365
1932,WV,257
1933,CA,546
1933,CT,583
1933,DC,903
1933,DE,564
1933,FL,288
1933,IA,253
1933,ID,227
1933,IL,437
1933,IN,294
1933,KA,250
1933,MA,559
1933,MD,466
1933,ME,371
1933,NC,208
1933,ND,146
1933,NE,495
1933,NJ,523
1933,NY,626
1933,OK,222
1933,PA,417
1933,RI,559
1933,SD,129
1933,VA,285
1933,VT,338
1933,WV,259
1934,CA,603
1934,CT,653
1934,DC,925
1934,DE,645
1934,FL,348
1934,IA,269
1934,ID,403
1934,IL,505
1934,IN,359
1934,KA,287
1934,MA,609
1934,MD,523
1934,ME,416
1934,NC,253
1934,ND,180
1934,NE,546
1934,NJ,573
1934,NY,680
1934,OK,252
1934,PA,482
1934,RI,600
1934,SD,184
1934,VA,320
1934,VT,383
1934,WV,313
1935,CA,660
1935,CT,706
1935,DC,985
1935,DE,701
1935,FL,376
1935,IA,425
1935,ID,399
1935,IL,573
1935,IN,421
1935,KA,362
1935,MA,643
1935,MD,548
1935,ME,430
1935,NC,271
1935,ND,272
1935,NE,658
1935,NJ,625
1935,NY,722
1935,OK,298
1935,PA,517
1935,RI,645
1935,SD,309
1935,VA,350
1935,VT,414
1935,WV,337
1936,CA,771
1936,CT,806
1936,DC,1105
1936,DE,868
1936,FL,450
1936,IA,393
1936,ID,475
1936,IL,650
1936,IN,481
1936,KA,387
1936,MA,714
1936,MD,618
1936,ME,506
1936,NC,297
1936,ND,234
1936,NE,843
1936,NJ,709
1936,NY,808
1936,OK,321
1936,PA,601
1936,RI,711
1936,SD,244
1936,VA,390
1936,VT,471
1936,WV,390
1937,CA,795
1937,CT,860
1937,DC,1172
1937,DE,949
1937,FL,487
1937,IA,523
1937,ID,423
1937,IL,731
1937,IN,547
1937,KA,428
1937,MA,732
1937,MD,665
1937,ME,510
1937,NC,324
1937,ND,326
1937,NE,762
1937,NJ,747
1937,NY,838
1937,OK,376
1937,PA,636
1937,RI,731
1937,SD,323
1937,VA,423
1937,VT,485
1937,WV,418
1938,CA,771
1938,CT,769
1938,DC,1106
1938,DE,795
1938,FL,460
1938,IA,458
1938,ID,426
1938,IL,648
1938,IN,472
1938,KA,383
1938,MA,672
1938,MD,633
1938,ME,471
1938,NC,295
1938,ND,282
1938,NE,780
1938,NJ,697
1938,NY,789
1938,OK,346
1938,PA,563
1938,RI,672
1938,SD,320
1938,VA,390
1938,VT,457
1938,WV,370
1939,CA,781
1939,CT,836
1939,DC,1127
1939,DE,899
1939,FL,495
1939,IA,475
1939,ID,437
1939,IL,704
1939,IN,518
1939,KA,382
1939,MA,724
1939,MD,663
1939,ME,495
1939,NC,315
1939,ND,319
1939,NE,861
1939,NJ,749
1939,NY,825
1939,OK,349
1939,PA,601
1939,RI,720
1939,SD,345
1939,VA,426
1939,VT,491
1939,WV,388
1940,CA,844
1940,CT,918
1940,DC,1178
1940,DE,1027
1940,FL,522
1940,IA,501
1940,ID,463
1940,IL,751
1940,IN,551
1940,KA,425
1940,MA,779
1940,MD,710
1940,ME,526
1940,NC,324
1940,ND,355
1940,NE,895
1940,NJ,820
1940,NY,869
1940,OK,374
1940,PA,650
1940,RI,750
1940,SD,361
1940,VA,467
1940,VT,516
1940,WV,407
1941,CA,1013
1941,CT,1145
1941,DC,1217
1941,DE,1164
1941,FL,609
1941,IA,609
1941,ID,596
1941,IL,892
1941,IN,724
1941,KA,552
1941,MA,901
1941,MD,870
1941,ME,631
1941,NC,422
1941,ND,529
1941,NE,982
1941,NJ,957
1941,NY,996
1941,OK,432
1941,PA,776
1941,RI,934
1941,SD,475
1941,VA,582
1941,VT,643
1941,WV,498
1942,CA,1286
1942,CT,1418
1942,DC,1384
1942,DE,1291
1942,FL,787
1942,IA,835
1942,ID,914
1942,IL,1036
1942,IN,913
1942,KA,851
1942,MA,1073
1942,MD,1117
1942,ME,857
1942,NC,572
1942,ND,665
1942,NE,1558
1942,NJ,1167
1942,NY,1169
1942,OK,626
1942,PA,951
1942,RI,1149
1942,SD,757
1942,VA,785
1942,VT,775
1942,WV,613
1943,CA,1549
1943,CT,1593
1943,DC,1526
1943,DE,1464
1943,FL,1009
1943,IA,1024
1943,ID,1025
1943,IL,1258
1943,IN,1138
1943,KA,1045
1943,MA,1262
1943,MD,1287
1943,ME,1102
1943,NC,693
1943,ND,966
1943,NE,1511
1943,NJ,1429
1943,NY,1384
1943,OK,782
1943,PA,1146
1943,RI,1201
1943,SD,846
1943,VA,843
1943,VT,932
1943,WV,739
1944,CA,1583
1944,CT,1599
1944,DC,1577
1944,DE,1504
1944,FL,1114
1944,IA,1003
1944,ID,1095
1944,IL,1386
1944,IN,1198
1944,KA,1169
1944,MA,1299
1944,MD,1324
1944,ME,1102
1944,NC,766
1944,ND,1031
1944,NE,1483
1944,NJ,1554
1944,NY,1538
1944,OK,947
1944,PA,1250
1944,RI,1274
1944,SD,979
1944,VA,900
1944,VT,953
1944,WV,820
1945,CA,1583
1945,CT,1565
1945,DC,1656
1945,DE,1526
1945,FL,1174
1945,IA,1092
1945,ID,1135
1945,IL,1465
1945,IN,1251
1945,KA,1165
1945,MA,1348
1945,MD,1312
1945,ME,1079
1945,NC,823
1945,ND,1046
1945,NE,1611
1945,NJ,1582
1945,NY,1644
1945,OK,970
1945,PA,1280
1945,RI,1278
1945,SD,1086
1945,VA,950
1945,VT,1035
1945,WV,888
1946,CA,1671
1946,CT,1580
1946,DC,1725
1946,DE,1565
1946,FL,1169
1946,IA,1245
1946,ID,1203
1946,IL,1534
1946,IN,1204
1946,KA,1136
1946,MA,1396
1946,MD,1315
1946,ME,1134
1946,NC,866
1946,ND,1088
1946,NE,1757
1946,NJ,1526
1946,NY,1697
1946,OK,952
1946,PA,1289
1946,RI,1369
1946,SD,1132
1946,VA,1002
1946,VT,1090
1946,WV,925
1947,CA,1693
1947,CT,1702
1947,DC,1780
1947,DE,1664
1947,FL,1167
1947,IA,1217
1947,ID,1278
1947,IL,1639
1947,IN,1313
1947,KA,1310
1947,MA,1435
1947,MD,1355
1947,ME,1169
1947,NC,900
1947,ND,1494
1947,NE,1770
1947,NJ,1571
1947,NY,1725
1947,OK,1028
1947,PA,1364
1947,RI,1459
1947,SD,1270
1947,VA,1015
1947,VT,1127
1947,WV,1032
1948,CA,1763
1948,CT,1720
1948,DC,1967
1948,DE,1685
1948,FL,1201
1948,IA,1642
1948,ID,1345
1948,IL,1816
1948,IN,1456
1948,KA,1352
1948,MA,1512
1948,MD,1500
1948,ME,1240
1948,NC,1003
1948,ND,1483
1948,NE,1758
1948,NJ,1648
1948,NY,1771
1948,OK,1143
1948,PA,1436
1948,RI,1433
1948,SD,1526
1948,VA,1148
1948,VT,1192
1948,WV,1110
1949,CA,1744
1949,CT,1663
1949,DC,2118
1949,DE,1805
1949,FL,1208
1949,IA,1356
1949,ID,1277
1949,IL,1685
1949,IN,1361
1949,KA,1299
1949,MA,1480
1949,MD,1496
1949,ME,1183
1949,NC,969
1949,ND,1211
1949,NE,1795
1949,NJ,1624
1949,NY,1729
1949,OK,1166
1949,PA,1405
1949,RI,1378
1949,SD,1116
1949,VA,1132
1949,VT,1125
1949,WV,1023
1950,CA,1877
1950,CT,1891
1950,DC,2228
1950,DE,2075
1950,FL,1304
1950,IA,1532
1950,ID,1329
1950,IL,1831
1950,IN,1524
1950,KA,1463
1950,MA,1656
1950,MD,1642
1950,ME,1195
1950,NC,1077
1950,ND,1360
1950,NE,1991
1950,NJ,1802
1950,NY,1858
1950,OK,1144
1950,PA,1552
1950,RI,1553
1950,SD,1283
1950,VA,1257
1950,VT,1169
1950,WV,1056
1951,CA,2080
