Respondent,Gender,Age,Education,Income,Spending,Ad Frequency,Stereotype,Reinforcing,Transform,Empowerment%
1,Female,23,Some undergraduate courses,"$10,000 to $20,000",$500.00,10,9,Drastic,Strongly Agree,10%
2,Male,22,High school diploma,"$20,000 to $30,000",$75.00,15,14,Influential,Somewhat Agree,2%
3,Female,24,Bachelor Degree,"$60,000 to $70,000","$1,500.00",10,10,Influential,Neutral,8%
4,Female,23,Bachelor Degree,"$30,000 to $40,000",$500.00,10,10,Influential,Agree,0%
5,Female,23,Bachelor Degree,"$30,000 to $40,000","$4,000.00",75,75,Influential,Agree,10%
6,Female,24,Bachelor Degree,"$10,000 to $20,000",$300.00,5,5,Drastic,Agree,10%
7,Female,30,Doctorate Degree,"$60,000 to $70,000",$700.00,6,6,Influential,Somewhat Agree,10%
8,Female,28,Bachelor Degree,"$50,000 to $60,000",$500.00,10,6,Influential,Somewhat Agree,5%
9,Female,20,Some undergraduate courses,"$0 to $10,000","$1,000.00",15,13,Drastic,Strongly Agree,10%
10,Male,24,Some undergraduate courses,"$20,000 to $30,000",$337.00,40,38,Drastic,Strongly Agree,1%
11,Female,24,Associate Degree,"$20,000 to $30,000",$600.00,37,35,Influential,Strongly Agree,3%
12,Female,24,Bachelor Degree,"$30,000 to $40,000",$240.00,15,15,Limited,Agree,0%
13,Female,27,Bachelor Degree,"$70,000 to $80,000","$3,000.00",2,2,Influential,Somewhat Agree,0%
14,Female,24,Master Degree,"$0 to $10,000",$250.00,20,18,Influential,Neutral,10%
15,Female,21,Bachelor Degree,"$0 to $10,000",$500.00,20,20,Influential,Agree,10%
16,Female,23,Master Degree,"$70,000 to $80,000","$2,500.00",600,590,Drastic,Strongly Agree,2%
17,Female,23,Master Degree,"$50,000 to $60,000","$2,000.00",50,48,Drastic,Strongly Agree,1%
18,Female,20,Some undergraduate courses,"$0 to $10,000",$400.00,400,375,Influential,Strongly Agree,5%
19,Female,46,J.D. ,"$10,000 to $20,000",$100.00,5,5,Influential,Somewhat Disagree,0%
20,Female,23,Bachelor Degree,"$40,000 to $50,000","$1,000.00",20,15,Influential,Agree,10%
21,Female,23,Some undergraduate courses,"$10,000 to $20,000",$750.00,100,100,Drastic,Strongly Agree,15%
22,Male,23,Associate Degree,"$10,000 to $20,000",$400.00,3,2,Influential,Agree,10%
23,Female,21,Some undergraduate courses,"$0 to $10,000",$800.00,10,10,Influential,Strongly Agree,5%
24,Male,23,Associate Degree,"$20,000 to $30,000",$500.00,50,10,Trivial,Somewhat Agree,10%
25,Male,19,Some undergraduate courses,"$0 to $10,000",$600.00,15,14,Influential,Agree,5%
26,Female,59,Associate Degree,"$150,000 or more","$2,500.00",20,20,Drastic,Strongly Agree,0%
27,Female,65,Doctorate Degree,"$70,000 to $80,000",$350.00,20,20,Influential,Somewhat Agree,0%
28,Male,32,Bachelor Degree,"$90,000 to $110,000",$400.00,5,5,Limited,Somewhat Agree,0%
29,Female,50,Doctorate Degree,"$40,000 to $50,000",$350.00,10,10,Drastic,Strongly Agree,1%
30,Male,23,Bachelor Degree,"$20,000 to $30,000",$200.00,150,135,Influential,Somewhat Agree,0%
31,Female,31,Some undergraduate courses,"$20,000 to $30,000",$200.00,25,25,Drastic,Neutral,0%
32,Male,25,Bachelor Degree,"$0 to $10,000",$100.00,5,5,Influential,Somewhat Agree,0%
33,Male,23,Some undergraduate courses,"$20,000 to $30,000",$100.00,300,300,Drastic,Agree,1%
34,Female,55,J.D.,"$110,000 to $130,000","$1,000.00",50,40,Influential,Agree,10%
35,Female,68,Doctorate Degree,"$110,000 to $130,000","$1,500.00",150,150,Influential,Agree,0%
36,Female,21,Some undergraduate courses,"$0 to $10,000",$50.00,100,100,Drastic,Agree,0%
37,Male,22,Bachelor Degree,"$20,000 to $30,000",$100.00,3,1,Limited,Strongly Agree,2%
