Year,CA,CT,DC,DE,FL,IA,ID,IL,IN,KA,MA,MD,ME,NC,ND,NE,NJ,NY,OK,PA,RI,SD,VA,VT,WV
1929,991,1024,1269,1032,518,581,507,948,607,532,906,768,601,332,382,868,918,1152,455,772,874,426,434,634,460
1930,887,921,1256,857,470,510,503,807,514,467,836,712,576,292,311,833,847,1035,368,712,788,366,384,576,408
1931,749,801,1196,775,398,400,374,671,438,401,759,638,491,248,187,652,736,881,301,600,711,241,370,474,356
1932,580,620,1054,590,319,297,274,486,310,266,613,512,377,187,176,550,587,676,216,449,575,189,284,365,257
1933,546,583,903,564,288,253,227,437,294,250,559,466,371,208,146,495,523,626,222,417,559,129,285,338,259
1934,603,653,925,645,348,269,403,505,359,287,609,523,416,253,180,546,573,680,252,482,600,184,320,383,313
1935,660,706,985,701,376,425,399,573,421,362,643,548,430,271,272,658,625,722,298,517,645,309,350,414,337
1936,771,806,1105,868,450,393,475,650,481,387,714,618,506,297,234,843,709,808,321,601,711,244,390,471,390
1937,795,860,1172,949,487,523,423,731,547,428,732,665,510,324,326,762,747,838,376,636,731,323,423,485,418
1938,771,769,1106,795,460,458,426,648,472,383,672,633,471,295,282,780,697,789,346,563,672,320,390,457,370
1939,781,836,1127,899,495,475,437,704,518,382,724,663,495,315,319,861,749,825,349,601,720,345,426,491,388
1940,844,918,1178,1027,522,501,463,751,551,425,779,710,526,324,355,895,820,869,374,650,750,361,467,516,407
1941,1013,1145,1217,1164,609,609,596,892,724,552,901,870,631,422,529,982,957,996,432,776,934,475,582,643,498
1942,1286,1418,1384,1291,787,835,914,1036,913,851,1073,1117,857,572,665,1558,1167,1169,626,951,1149,757,785,775,613
1943,1549,1593,1526,1464,1009,1024,1025,1258,1138,1045,1262,1287,1102,693,966,1511,1429,1384,782,1146,1201,846,843,932,739
1944,1583,1599,1577,1504,1114,1003,1095,1386,1198,1169,1299,1324,1102,766,1031,1483,1554,1538,947,1250,1274,979,900,953,820
1945,1583,1565,1656,1526,1174,1092,1135,1465,1251,1165,1348,1312,1079,823,1046,1611,1582,1644,970,1280,1278,1086,950,1035,888
1946,1671,1580,1725,1565,1169,1245,1203,1534,1204,1136,1396,1315,1134,866,1088,1757,1526,1697,952,1289,1369,1132,1002,1090,925
1947,1693,1702,1780,1664,1167,1217,1278,1639,1313,1310,1435,1355,1169,900,1494,1770,1571,1725,1028,1364,1459,1270,1015,1127,1032
1948,1763,1720,1967,1685,1201,1642,1345,1816,1456,1352,1512,1500,1240,1003,1483,1758,1648,1771,1143,1436,1433,1526,1148,1192,1110
1949,1744,1663,2118,1805,1208,1356,1277,1685,1361,1299,1480,1496,1183,969,1211,1795,1624,1729,1166,1405,1378,1116,1132,1125,1023
1950,1877,1891,2228,2075,1304,1532,1329,1831,1524,1463,1656,1642,1195,1077,1360,1991,1802,1858,1144,1552,1553,1283,1257,1169,1056
1951,2080,2158,2332,2155,1388,1638,1497,2026,1711,1602,1817,1815,1319,1192,1444,2211,2000,2002,1290,1713,1717,1497,1420,1334,1182
1952,2207,2298,2445,2244,1474,1725,1644,2091,1778,1827,1895,1944,1438,1230,1318,2397,2114,2057,1401,1789,1765,1327,1510,1380,1247
1953,2249,2393,2350,2341,1567,1657,1550,2209,1943,1739,1947,2017,1449,1274,1336,2447,2232,2144,1475,1894,1855,1436,1533,1432,1276
1954,2227,2350,2350,2306,1562,1788,1559,2177,1805,1791,1930,1938,1448,1293,1364,2415,2219,2175,1458,1827,1847,1457,1554,1456,1225
1955,2379,2477,2365,2507,1673,1670,1596,2270,1907,1753,2071,2047,1581,1368,1490,2527,2300,2295,1516,1915,1958,1342,1637,1524,1318
1956,2495,2684,2558,2749,1791,1758,1728,2452,2008,1821,2194,2184,1669,1436,1556,2488,2448,2416,1593,2063,1998,1419,1712,1655,1477
1957,2579,2810,2615,2645,1836,1939,1783,2522,2042,1911,2296,2267,1720,1424,1598,2562,2551,2522,1657,2174,2024,1669,1738,1720,1594
1958,2596,2731,2756,2651,1887,1990,1817,2511,2015,2098,2321,2258,1797,1505,1847,2594,2525,2553,1794,2164,2067,1740,1784,1732,1551
1959,2740,2832,2827,2724,2010,2026,1891,2642,2131,2106,2430,2324,1850,1581,1679,2749,2660,2695,1857,2240,2183,1564,1885,1832,1597
1960,2823,2926,2924,2805,2023,2061,1898,2700,2209,2165,2511,2407,1919,1629,1821,2890,2764,2788,1916,2301,2234,1870,1936,1923,1625
1961,2880,3042,2991,2815,2039,2180,1975,2789,2246,2227,2605,2507,1903,1689,1653,2957,2830,2866,1947,2334,2329,1863,2005,1994,1671
1962,3004,3175,3097,2933,2113,2284,2092,2902,2399,2305,2734,2638,1983,1797,2320,3184,2990,2980,1994,2439,2457,2092,2121,2072,1762
1963,3102,3250,3203,3049,2200,2432,2168,2981,2486,2384,2799,2722,2049,1877,2142,3174,3064,3070,2055,2511,2552,2020,2218,2128,1853
1964,3274,3401,3363,3210,2348,2549,2250,3131,2617,2516,2932,2881,2212,2009,2112,3209,3224,3254,2196,2662,2691,2000,2403,2266,1974
1965,3417,3583,3559,3468,2498,2833,2554,3360,2856,2689,3101,3055,2383,2143,2463,3299,3414,3422,2361,2830,2870,2278,2563,2456,2126
1966,3663,3874,3744,3610,2685,3067,2591,3599,3041,2894,3331,3284,2539,2363,2507,3471,3652,3657,2517,3040,3113,2500,2746,2729,2271
1967,3878,4195,4017,3785,2909,3093,2755,3785,3153,3032,3583,3516,2658,2525,2592,3660,3892,3923,2702,3246,3336,2577,2967,2885,2417
1968,4207,4443,4342,4079,3249,3312,2910,4045,3401,3268,3903,3831,2872,2754,2719,4114,4237,4295,2948,3507,3595,2773,3252,3128,2573
1969,4540,4847,4528,4421,3659,3652,3269,4354,3714,3548,4207,4209,3140,3051,3052,4520,4525,4603,3198,3815,3865,2995,3558,3388,2798
1970,4815,5090,5018,4608,4006,3862,3558,4580,3810,3816,4486,4573,3423,3285,3214,4946,4835,4887,3477,4077,4114,3256,3795,3634,3117
1971,5034,5300,5545,4892,4286,4005,3761,4874,4105,4145,4748,4894,3594,3510,3669,5227,5127,5179,3711,4294,4295,3538,4092,3856,3378
1972,5451,5697,6073,5303,4703,4473,4150,5266,4455,4613,5106,5291,3864,3899,4377,5557,5521,5538,4020,4683,4625,4065,4486,4176,3682
1973,5947,6241,6522,5871,5235,5398,4709,5903,5100,5274,5551,5822,4319,4365,6172,6114,6043,5980,4524,5168,4972,5163,4972,4548,4026
1974,6553,6813,7306,6347,5616,5596,5382,6464,5440,5717,6024,6382,4764,4743,6120,6490,6576,6492,4986,5704,5405,5178,5484,4869,4457
1975,7091,7239,8068,6729,5895,6192,5571,6986,5830,6186,6439,6878,5019,5039,6334,7009,7037,6955,5475,6170,5844,5667,5934,5192,4974
1976,7815,7885,8775,7349,6376,6580,6116,7623,6516,6721,6994,7536,5708,5584,6184,7719,7703,7477,5974,6800,6411,5591,6534,5753,5479
1977,8570,8712,9702,7913,7010,7283,6510,8385,7199,7307,7636,8191,6142,6058,6427,8550,8462,8153,6586,7493,7004,6351,7192,6179,6053
1978,9618,9720,10448,8658,7921,8438,7319,9277,8006,8082,8480,9062,6751,6780,8136,9780,9408,8979,7387,8305,7693,7347,8040,7036,6703
1979,10846,10971,11336,9549,8879,9114,7894,10243,8814,9240,9472,10035,7497,7461,8398,10765,10469,9927,8485,9225,8595,8158,8995,7853,7432
1980,12029,12439,12347,10803,10049,9671,8735,11077,9449,10038,10673,11230,8408,8247,8095,11780,11778,11095,9580,10151,9742,8142,10176,8702,8172
1981,13205,13865,13530,11873,11195,10968,9405,12250,10355,11248,11830,12403,9231,9184,10342,12780,13057,12364,11003,11184,10815,9451,11291,9717,8866
1982,13774,14903,14805,12727,11789,11227,9621,12771,10698,11989,12803,13246,9873,9690,10990,12986,13999,13344,11817,11887,11605,9915,12075,10287,9439
1983,14491,15799,15532,13529,12637,11485,10315,13289,11203,12373,13859,14228,10551,10480,11386,13465,15036,14188,11725,12455,12439,10195,12936,10968,9626
1984,15927,17580,17126,14816,13764,12798,11069,14682,12445,13602,15549,15693,11665,11788,12307,14435,16549,15739,12687,13512,13717,11619,14298,12048,10417
1985,16909,18763,18177,16056,14705,13395,11647,15508,13143,14330,16720,16961,12533,12649,12811,15332,17652,16734,13265,14445,14685,11942,15286,12994,10936
1986,17628,20038,19030,16781,15423,14020,11968,16284,13821,14904,17954,17966,13463,13444,13126,16027,18711,17827,13288,15186,15587,12486,16237,13842,11464
1987,18625,21895,20251,17933,16415,14899,12611,17289,14664,15583,19504,19216,14595,14325,13565,16886,20230,19031,13464,16142,16651,13217,17332,14992,11950
1988,19713,24007,22440,19312,17593,15315,13548,18461,15616,16331,21334,20626,15813,15461,12745,18180,22142,20604,14257,17323,18271,13807,18556,16197,12708
1989,20765,25797,24311,20930,19045,16562,14803,19634,16770,17093,22458,22001,16886,16539,14357,19568,23595,21966,15265,18725,19657,14767,19780,17517,13529
1990,21889,26736,26627,21636,19855,17380,15866,20756,17625,18182,23223,23023,17479,17367,15880,20674,24766,23315,16214,19823,20194,16238,20538,18055,14579
